STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,subjnmon,Subjective and non-monetary indicator,hhtyp,Type of household,incgrp,Income situation in relation to the risk of poverty threshold,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,BG,Bulgaria,2023,,0.2,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,BG,Bulgaria,2024,,0.3,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,CH,Switzerland,2021,,27.1,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,CH,Switzerland,2022,,21.4,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,CH,Switzerland,2023,,27.3,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,CY,Cyprus,2021,,1.5,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,CY,Cyprus,2022,,0.7,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,CY,Cyprus,2023,,1.5,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,CY,Cyprus,2024,,1.8,,b,break in time series,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,CZ,Czechia,2021,,6.1,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,CZ,Czechia,2022,,6.1,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,CZ,Czechia,2023,,4.7,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,CZ,Czechia,2024,,5.0,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,DE,Germany,2021,,20.7,,u,low reliability,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,DE,Germany,2022,,16.7,,u,low reliability,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,DE,Germany,2023,,15.5,,u,low reliability,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,DE,Germany,2024,,18.3,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,DK,Denmark,2021,,14.2,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,DK,Denmark,2022,,14.7,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,DK,Denmark,2023,,12.8,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,DK,Denmark,2024,,12.5,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,EE,Estonia,2021,,10.9,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,EE,Estonia,2022,,8.6,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,EE,Estonia,2023,,10.5,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,EE,Estonia,2024,,13.3,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,EL,Greece,2021,,0.1,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,EL,Greece,2022,,0.0,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,EL,Greece,2023,,0.0,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,EL,Greece,2024,,0.0,,n,not significant,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,ES,Spain,2021,,8.0,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,ES,Spain,2022,,8.5,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,ES,Spain,2023,,8.2,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,ES,Spain,2024,,10.0,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,EU27_2020,European Union - 27 countries (from 2020),2021,,8.7,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,EU27_2020,European Union - 27 countries (from 2020),2022,,7.6,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,EU27_2020,European Union - 27 countries (from 2020),2023,,7.7,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,EU27_2020,European Union - 27 countries (from 2020),2024,,9.4,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,FI,Finland,2021,,18.5,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,FI,Finland,2022,,18.6,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,FI,Finland,2023,,15.2,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,FI,Finland,2024,,13.8,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,FR,France,2021,,10.1,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,FR,France,2022,,7.9,,b,break in time series,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,FR,France,2023,,10.1,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,FR,France,2024,,9.1,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,HR,Croatia,2021,,1.3,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,HR,Croatia,2022,,0.6,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,HR,Croatia,2023,,1.4,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,HR,Croatia,2024,,3.2,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,HU,Hungary,2021,,1.1,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,HU,Hungary,2022,,4.5,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,HU,Hungary,2023,,2.9,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,HU,Hungary,2024,,3.1,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,IE,Ireland,2021,,7.0,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,IE,Ireland,2022,,4.2,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,IE,Ireland,2023,,6.5,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,IE,Ireland,2024,,5.6,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,IT,Italy,2021,,3.3,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,IT,Italy,2022,,1.9,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,IT,Italy,2023,,1.8,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,IT,Italy,2024,,2.9,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,LT,Lithuania,2021,,2.3,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,LT,Lithuania,2022,,2.7,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,LT,Lithuania,2023,,1.8,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,LT,Lithuania,2024,,3.7,,p,provisional,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,LU,Luxembourg,2021,,16.4,,b,break in time series,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,LU,Luxembourg,2022,,11.4,,b,break in time series,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,LU,Luxembourg,2023,,20.9,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,LU,Luxembourg,2024,,23.0,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,LV,Latvia,2021,,6.3,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,LV,Latvia,2022,,2.9,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,LV,Latvia,2023,,3.4,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,LV,Latvia,2024,,4.5,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,ME,Montenegro,2021,,0.8,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,ME,Montenegro,2022,,0.7,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,MK,North Macedonia,2021,,1.1,,b,break in time series,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,MK,North Macedonia,2022,,0.3,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,MT,Malta,2021,,7.7,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,MT,Malta,2022,,6.1,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,MT,Malta,2023,,10.4,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,MT,Malta,2024,,11.5,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,NL,Netherlands,2021,,27.9,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,NL,Netherlands,2022,,24.6,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,NL,Netherlands,2023,,23.4,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,NL,Netherlands,2024,,26.8,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,NO,Norway,2021,,14.8,,b,break in time series,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,NO,Norway,2022,,17.9,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,NO,Norway,2023,,18.5,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,NO,Norway,2024,,14.5,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,PL,Poland,2021,,4.1,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,PL,Poland,2022,,3.5,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,PL,Poland,2023,,5.8,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,PL,Poland,2024,,8.5,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,PT,Portugal,2021,,4.6,,b,break in time series,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,PT,Portugal,2022,,2.3,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,PT,Portugal,2023,,3.9,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,PT,Portugal,2024,,4.9,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,RO,Romania,2021,,1.7,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,RO,Romania,2022,,1.9,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,RO,Romania,2023,,2.3,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,RO,Romania,2024,,2.7,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,RS,Serbia,2021,,0.5,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,RS,Serbia,2022,,0.5,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,RS,Serbia,2023,,0.3,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,SE,Sweden,2021,,15.5,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,SE,Sweden,2022,,16.1,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,SE,Sweden,2023,,14.4,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,SE,Sweden,2024,,14.8,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,SI,Slovenia,2021,,13.6,,,,,
