STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,hhtyp,Type of household,incgrp,Income situation in relation to the risk of poverty threshold,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,CY,Cyprus,2020,,14.7,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,CY,Cyprus,2021,,17.3,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,CY,Cyprus,2022,,13.6,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,CY,Cyprus,2023,,14.3,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,CY,Cyprus,2024,,12.5,,b,break in time series,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,CZ,Czechia,2020,,3.0,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,CZ,Czechia,2021,,2.4,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,CZ,Czechia,2022,,2.7,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,CZ,Czechia,2023,,2.9,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,CZ,Czechia,2024,,3.4,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,DE,Germany,2020,,5.2,,b,break in time series,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,DE,Germany,2021,,5.6,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,DE,Germany,2022,,5.9,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,DE,Germany,2023,,8.3,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,DE,Germany,2024,,7.2,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,DK,Denmark,2020,,7.7,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,DK,Denmark,2021,,6.3,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,DK,Denmark,2022,,6.7,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,DK,Denmark,2023,,7.8,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,DK,Denmark,2024,,6.9,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,EE,Estonia,2020,,5.7,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,EE,Estonia,2021,,5.7,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,EE,Estonia,2022,,5.8,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,EE,Estonia,2023,,5.8,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,EE,Estonia,2024,,7.1,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,EL,Greece,2020,,36.9,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,EL,Greece,2021,,36.4,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,EL,Greece,2022,,45.5,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,EL,Greece,2023,,47.3,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,EL,Greece,2024,,42.8,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,ES,Spain,2020,,13.5,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,ES,Spain,2021,,14.3,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,ES,Spain,2022,,13.2,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,ES,Spain,2023,,13.6,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,ES,Spain,2024,,14.2,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2020,,8.8,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2021,,8.9,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2022,,9.2,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2023,,9.3,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2024,,9.2,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,FI,Finland,2020,,10.0,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,FI,Finland,2021,,8.2,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,FI,Finland,2022,,7.7,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,FI,Finland,2023,,9.5,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,FI,Finland,2024,,11.2,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,FR,France,2020,,9.1,,b,break in time series,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,FR,France,2021,,10.1,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,FR,France,2022,,10.2,,b,break in time series,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,FR,France,2023,,10.0,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,FR,France,2024,,10.6,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,HR,Croatia,2020,,14.2,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,HR,Croatia,2021,,16.6,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,HR,Croatia,2022,,15.7,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,HR,Croatia,2023,,12.7,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,HR,Croatia,2024,,9.4,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,HU,Hungary,2020,,11.6,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,HU,Hungary,2021,,11.2,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,HU,Hungary,2022,,10.3,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,HU,Hungary,2023,,10.8,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,HU,Hungary,2024,,9.3,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,IE,Ireland,2020,,14.6,,b,break in time series,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,IE,Ireland,2021,,13.7,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,IE,Ireland,2022,,12.9,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,IE,Ireland,2023,,10.6,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,IE,Ireland,2024,,12.2,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,IS,Iceland,2020,,8.3,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,IT,Italy,2020,,6.8,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,IT,Italy,2021,,7.7,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,IT,Italy,2022,,6.2,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,IT,Italy,2023,,5.0,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,IT,Italy,2024,,5.3,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,LT,Lithuania,2020,,7.1,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,LT,Lithuania,2021,,6.6,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,LT,Lithuania,2022,,6.0,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,LT,Lithuania,2023,,7.1,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,LT,Lithuania,2024,,5.0,,p,provisional,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,LU,Luxembourg,2020,,4.9,,b,break in time series,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,LU,Luxembourg,2021,,6.6,,b,break in time series,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,LU,Luxembourg,2022,,7.2,,b,break in time series,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,LU,Luxembourg,2023,,8.7,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,LU,Luxembourg,2024,,8.5,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,LV,Latvia,2020,,9.7,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,LV,Latvia,2021,,7.2,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,LV,Latvia,2022,,6.9,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,LV,Latvia,2023,,7.9,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,LV,Latvia,2024,,7.5,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,ME,Montenegro,2020,,32.1,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,ME,Montenegro,2021,,31.8,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,ME,Montenegro,2022,,30.6,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,MK,North Macedonia,2020,,32.3,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,MK,North Macedonia,2021,,29.1,,b,break in time series,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,MK,North Macedonia,2022,,33.0,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,MT,Malta,2020,,7.0,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,MT,Malta,2021,,7.8,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,MT,Malta,2022,,6.1,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,MT,Malta,2023,,5.7,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,MT,Malta,2024,,5.9,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,NL,Netherlands,2020,,3.2,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,NL,Netherlands,2021,,2.6,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,NL,Netherlands,2022,,2.9,,,,,
