STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,hhtyp,Type of household,incgrp,Income situation in relation to the risk of poverty threshold,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,CY,Cyprus,2022,,39.7,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,CY,Cyprus,2023,,37.6,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,CY,Cyprus,2024,,34.8,,b,break in time series,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,CZ,Czechia,2020,,19.6,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,CZ,Czechia,2021,,18.1,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,CZ,Czechia,2022,,17.5,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,CZ,Czechia,2023,,19.7,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,CZ,Czechia,2024,,19.2,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,DE,Germany,2020,,37.6,,b,break in time series,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,DE,Germany,2021,,32.3,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,DE,Germany,2022,,33.9,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,DE,Germany,2023,,35.0,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,DE,Germany,2024,,32.2,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,DK,Denmark,2020,,22.7,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,DK,Denmark,2021,,19.5,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,DK,Denmark,2022,,20.2,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,DK,Denmark,2023,,23.1,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,DK,Denmark,2024,,21.1,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,EE,Estonia,2020,,30.5,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,EE,Estonia,2021,,27.1,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,EE,Estonia,2022,,31.2,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,EE,Estonia,2023,,30.4,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,EE,Estonia,2024,,34.7,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,EL,Greece,2020,,50.7,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,EL,Greece,2021,,46.3,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,EL,Greece,2022,,43.6,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,EL,Greece,2023,,44.3,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,EL,Greece,2024,,43.9,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,ES,Spain,2020,,35.4,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,ES,Spain,2021,,33.5,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,ES,Spain,2022,,35.5,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,ES,Spain,2023,,37.2,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,ES,Spain,2024,,35.9,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2020,,32.5,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2021,,30.2,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2022,,31.6,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2023,,31.2,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2024,,30.0,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,FI,Finland,2020,,25.4,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,FI,Finland,2021,,23.5,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,FI,Finland,2022,,23.2,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,FI,Finland,2023,,26.0,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,FI,Finland,2024,,27.3,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,FR,France,2020,,30.5,,b,break in time series,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,FR,France,2021,,27.6,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,FR,France,2022,,31.4,,b,break in time series,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,FR,France,2023,,29.4,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,FR,France,2024,,29.4,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,HR,Croatia,2020,,48.9,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,HR,Croatia,2021,,46.5,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,HR,Croatia,2022,,44.8,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,HR,Croatia,2023,,41.4,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,HR,Croatia,2024,,34.9,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,HU,Hungary,2020,,35.7,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,HU,Hungary,2021,,34.8,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,HU,Hungary,2022,,33.9,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,HU,Hungary,2023,,31.5,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,HU,Hungary,2024,,28.7,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,IE,Ireland,2020,,33.4,,b,break in time series,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,IE,Ireland,2021,,29.1,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,IE,Ireland,2022,,33.1,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,IE,Ireland,2023,,34.3,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,IE,Ireland,2024,,31.6,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,IS,Iceland,2020,,22.4,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,IT,Italy,2020,,32.3,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,IT,Italy,2021,,32.7,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,IT,Italy,2022,,32.9,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,IT,Italy,2023,,28.8,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,IT,Italy,2024,,29.9,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,LT,Lithuania,2020,,41.8,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,LT,Lithuania,2021,,36.4,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,LT,Lithuania,2022,,39.3,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,LT,Lithuania,2023,,40.5,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,LT,Lithuania,2024,,41.3,,p,provisional,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,LU,Luxembourg,2020,,22.5,,b,break in time series,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,LU,Luxembourg,2021,,21.3,,b,break in time series,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,LU,Luxembourg,2022,,18.8,,b,break in time series,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,LU,Luxembourg,2023,,24.1,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,LU,Luxembourg,2024,,22.5,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,LV,Latvia,2020,,45.6,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,LV,Latvia,2021,,41.7,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,LV,Latvia,2022,,44.1,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,LV,Latvia,2023,,44.8,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,LV,Latvia,2024,,45.3,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,ME,Montenegro,2020,,62.2,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,ME,Montenegro,2021,,61.6,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,ME,Montenegro,2022,,59.6,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,MK,North Macedonia,2020,,50.9,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,MK,North Macedonia,2021,,51.4,,b,break in time series,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,MK,North Macedonia,2022,,53.9,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,MT,Malta,2020,,16.3,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,MT,Malta,2021,,15.7,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,MT,Malta,2022,,15.4,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,MT,Malta,2023,,15.9,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,MT,Malta,2024,,18.3,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,NL,Netherlands,2020,,19.1,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,NL,Netherlands,2021,,15.1,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,NL,Netherlands,2022,,14.6,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,NL,Netherlands,2023,,15.9,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,NL,Netherlands,2024,,16.9,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,NO,Norway,2020,,20.1,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,NO,Norway,2021,,23.4,,b,break in time series,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,NO,Norway,2022,,22.0,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,NO,Norway,2023,,24.2,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,NO,Norway,2024,,23.6,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,PL,Poland,2020,,25.7,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,PL,Poland,2021,,24.5,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,PL,Poland,2022,,27.1,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,PL,Poland,2023,,25.7,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,PL,Poland,2024,,22.8,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,PT,Portugal,2020,,30.8,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,PT,Portugal,2021,,31.2,,b,break in time series,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,PT,Portugal,2022,,29.9,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,PT,Portugal,2023,,30.5,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,PT,Portugal,2024,,28.7,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,RO,Romania,2020,,47.3,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,RO,Romania,2021,,47.3,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,RO,Romania,2022,,47.9,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,RO,Romania,2023,,46.4,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,RO,Romania,2024,,40.0,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,RS,Serbia,2020,,36.5,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,RS,Serbia,2021,,35.4,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,RS,Serbia,2022,,35.0,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,RS,Serbia,2023,,34.5,,,,,
