STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,coicop,Classification of individual consumption by purpose (COICOP),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,EL,Greece,2022,,16.2,,p,provisional,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,EL,Greece,2023,,15.3,,p,provisional,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,ES,Spain,2020,,15.8,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,ES,Spain,2021,,14.2,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,ES,Spain,2022,,13.0,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,EU27_2020,European Union - 27 countries (from 2020),2020,,14.8,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,EU27_2020,European Union - 27 countries (from 2020),2021,,14.1,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,EU27_2020,European Union - 27 countries (from 2020),2022,,13.6,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,FI,Finland,2020,,12.7,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,FI,Finland,2021,,12.3,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,FI,Finland,2022,,12.2,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,FI,Finland,2023,,12.5,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,FI,Finland,2024,,12.7,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,FR,France,2020,,14.9,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,FR,France,2021,,13.9,,p,provisional,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,FR,France,2022,,13.3,,p,provisional,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,HR,Croatia,2020,,20.8,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,HR,Croatia,2021,,19.0,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,HR,Croatia,2022,,18.1,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,HR,Croatia,2023,,17.5,,p,provisional,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,HU,Hungary,2020,,18.8,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,HU,Hungary,2021,,18.0,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,HU,Hungary,2022,,16.7,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,IE,Ireland,2020,,10.4,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,IE,Ireland,2021,,9.7,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,IE,Ireland,2022,,8.6,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,IE,Ireland,2023,,8.6,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,IS,Iceland,2020,,13.6,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,IS,Iceland,2021,,12.9,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,IS,Iceland,2022,,12.1,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,IS,Iceland,2023,,12.2,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,IS,Iceland,2024,,12.7,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,IT,Italy,2020,,16.5,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,IT,Italy,2021,,15.4,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,IT,Italy,2022,,14.4,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,IT,Italy,2023,,14.7,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,LT,Lithuania,2020,,21.8,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,LT,Lithuania,2021,,20.3,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,LT,Lithuania,2022,,19.2,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,LT,Lithuania,2023,,18.9,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,LU,Luxembourg,2020,,10.3,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,LU,Luxembourg,2021,,9.6,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,LU,Luxembourg,2022,,9.6,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,LU,Luxembourg,2023,,9.6,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,LV,Latvia,2020,,19.9,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,LV,Latvia,2021,,20.0,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,LV,Latvia,2022,,19.7,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,ME,Montenegro,2020,,31.7,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,ME,Montenegro,2021,,27.0,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,ME,Montenegro,2022,,27.2,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,ME,Montenegro,2023,,26.8,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,MK,North Macedonia,2020,,32.6,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,MK,North Macedonia,2021,,30.5,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,MK,North Macedonia,2022,,30.6,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,MK,North Macedonia,2023,,31.0,,p,provisional,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,MT,Malta,2020,,15.3,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,MT,Malta,2021,,14.2,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,MT,Malta,2022,,13.3,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,MT,Malta,2023,,12.5,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,NL,Netherlands,2020,,13.2,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,NL,Netherlands,2021,,12.7,,p,provisional,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,NL,Netherlands,2022,,11.7,,p,provisional,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,NO,Norway,2020,,13.4,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,NO,Norway,2021,,12.6,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,NO,Norway,2022,,11.4,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,NO,Norway,2023,,11.7,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,PL,Poland,2020,,19.1,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,PL,Poland,2021,,18.6,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,PL,Poland,2022,,18.5,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,PL,Poland,2023,,18.8,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,PT,Portugal,2020,,18.7,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,PT,Portugal,2021,,18.1,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,PT,Portugal,2022,,17.3,,p,provisional,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,RO,Romania,2020,,25.0,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,RO,Romania,2021,,24.8,,p,provisional,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,RO,Romania,2022,,25.0,,p,provisional,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,RS,Serbia,2020,,24.0,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,RS,Serbia,2021,,22.7,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,RS,Serbia,2022,,23.6,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,RS,Serbia,2023,,24.1,,p,provisional,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,SE,Sweden,2020,,13.3,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,SE,Sweden,2021,,12.9,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,SE,Sweden,2022,,12.8,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,SI,Slovenia,2020,,15.9,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,SI,Slovenia,2021,,14.4,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,SI,Slovenia,2022,,14.0,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,SK,Slovakia,2020,,19.8,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,SK,Slovakia,2021,,19.7,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,SK,Slovakia,2022,,18.3,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,SK,Slovakia,2023,,19.8,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,SK,Slovakia,2024,,19.4,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,TR,Türkiye,2020,,24.1,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,TR,Türkiye,2021,,23.3,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,TR,Türkiye,2022,,23.2,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP01,Food and non-alcoholic beverages,TR,Türkiye,2023,,22.8,,,,,
dataflow,ESTAT:TEC00134(1.0),"Final consumption expenditure of households, by consumption purpose",A,Annual,PC_TOT,Percentage of total,CP02,"Alcoholic beverages, tobacco and narcotics",AL,Albania,2020,,3.2,,,,,
